Name,Symbol,mass (Kg),percentage (%),consumption (100 years)

Silicon,Si,7.02E+21,27,7.60E+11
Aluminium,Al,2.08E+21,8,4.50E+12
Iron,Fe,1.30E+21,5,1.10E+14
Potassium,K,7.28E+20,2.8,3.40E+09
Sodium,Na,6.76E+20,2.6,2.80E+13
Magnesium,Mg,5.46E+20,2.1,7.50E+09
Titanium,Ti,1.69E+16,6.50E-07,6.50E+11
Manganese,Mn,1.669E+16,2.01E-19,1.00E-07
Chlorine,Cl,3.38E+15,9.91E-19,1.00E-09
Chromium,Ch,1.7E+15,1.97E-18,1.00E-09
Nickel,Ni,1.5E+15,2.23E-18,1.00E-09
Zinc,Zn,1.05E+15,3.19E-18,7.00E-10
Boron,B,1.2E+15,2.79E-18,5.00E-08
